Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,High,22002,Normal,Normal,CTA-Joy,Normal,2019-08-08 23:00:00,6,nizem
2,High,22003,Normal,Normal,CTA-Joy,Normal,2019-08-08 23:24:00,8,Venture
2,High,22004,Normal,Normal,CTA-Joy,Normal,2019-08-08 23:59:00,10,paz
2,High,22005,Normal,Normal,Crowded(Assassin),Assassin,2019-08-09 00:28:00,8,ElAsesino
2,High,22006,Normal,Normal,CTA-Joy,Normal,2019-08-09 23:05:00,8,Goobs
2,High,22007,Normal,Normal,CTA-Joy,Normal,2019-08-09 23:41:00,4,bigdaddy
2,High,22008,Normal,Normal,CTA-Joy,Normal,2019-08-10 20:15:00,4,paz
2,High,22009,Normal,Normal,CTA-Joy,Normal,2019-08-10 23:28:00,8,paz
2,High,22010,Normal,Normal,CTA-Joy,Normal,2019-08-10 23:51:00,8,Venture
2,High,22011,Normal,Normal,CTA-Joy,Normal,2019-08-11 00:37:00,8,Venture
2,High,22012,Normal,Normal,CTA-Joy,Normal,2019-08-11 01:02:00,8,tela
2,High,22013,Normal,Normal,CTA-Joy,Normal,2019-08-11 01:23:00,8,Venture
2,High,22014,Normal,Normal,CTA-Joy,Normal,2019-08-11 02:00:00,8,paz
2,High,22015,Normal,Normal,CTA-Joy,Normal,2019-08-11 23:43:00,6,ElAsesino
2,High,22016,Normal,Normal,CTA-Joy,Normal,2019-08-12 00:09:00,6,Venture
2,High,22017,Normal,Normal,CTA-Joy,Normal,2019-08-12 00:56:00,6,paz
2,High,22018,Normal,Normal,CTA-Joy,Normal,2019-08-12 22:55:00,8,ElAsesino
2,High,22019,Normal,Normal,CTA-Joy,Normal,2019-08-12 23:23:00,8,Venture
2,High,22020,Normal,Normal,CTA-Joy,Normal,2019-08-12 23:44:00,8,Venture
2,High,22021,Normal,Normal,CTA-Joy,Normal,2019-08-13 21:21:00,8,Goobs
2,High,22022,Normal,Normal,CTA-Joy,Normal,2019-08-13 21:46:00,8,Venture
2,High,22023,Normal,Normal,CTA-Joy,Normal,2019-08-13 22:11:00,10,Venture
2,High,22024,Normal,Normal,CTA-Joy,Normal,2019-08-13 22:38:00,6,Venture
2,,22025,,,CTA-SmallFlag,Normal,2019-08-13 23:01:00,8,Lunu
2,High,22026,Normal,Normal,CTA-Joy,Normal,2019-08-13 23:42:00,6,tela
2,High,22027,Normal,Normal,CTA-Joy,Normal,2019-08-14 22:17:00,10,paz
2,High,22028,Normal,Normal,CTA-Joy,Normal,2019-08-14 22:41:00,8,Lunu
2,High,22029,Normal,Normal,CTA-Joy,Normal,2019-08-14 23:15:00,8,paz
2,High,22030,Normal,Normal,CTA-Joy,Normal,2019-08-14 23:45:00,8,paz
2,High,22031,Normal,Normal,CTA-Joy,Normal,2019-08-15 00:19:00,6,paz
2,High,22032,Normal,Normal,CTA-Joy,Normal,2019-08-15 22:19:00,4,Venture
2,High,22033,Normal,Normal,CTA-Joy,Normal,2019-08-15 22:44:00,8,Venture
2,High,22034,Normal,Normal,CTA-Joy,Normal,2019-08-15 23:08:00,8,Venture
2,High,22035,Normal,Normal,CTA-Joy,Normal,2019-08-15 23:32:00,8,tela
2,High,22036,Normal,Normal,CTA-Joy,Normal,2019-08-16 00:01:00,8,paz
2,High,22037,Normal,Normal,CTA-Joy,Normal,2019-08-16 00:36:00,8,paz
2,High,22038,Normal,Normal,CTA-Joy,Normal,2019-08-16 00:59:00,8,paz
2,High,22039,Normal,Normal,CTA-Joy,Normal,2019-08-16 01:33:00,6,paz
2,High,22040,Normal,Normal,CTA-Joy,Normal,2019-08-16 21:30:00,8,ElAsesino
2,High,22041,Normal,Normal,CTA-Joy,Normal,2019-08-16 21:58:00,10,paz
2,High,22042,Normal,Normal,CTA-Joy,Normal,2019-08-16 22:35:00,6,paz
2,High,22043,Normal,Normal,CTA-Joy,Normal,2019-08-16 23:22:00,8,paz
2,High,22044,Normal,Normal,CTA-Joy,Normal,2019-08-16 23:54:00,10,paz
2,High,22045,Normal,Normal,CTA-Joy,Normal,2019-08-17 00:36:00,8,paz
2,High,22046,Normal,Normal,CTA-Joy,Normal,2019-08-17 01:09:00,10,paz
2,High,22047,Normal,Normal,CTA-Joy,Normal,2019-08-17 01:56:00,6,Venture
2,High,22048,Normal,Normal,CTA-Joy,Normal,2019-08-17 02:19:00,6,Venture
2,High,22049,Normal,Normal,CTA-Joy,Normal,2019-08-17 02:54:00,6,race
2,High,22050,Normal,Normal,CTA-Joy,Normal,2019-08-17 03:38:00,6,Venture
2,High,22051,Normal,Normal,CTA-Joy,Normal,2019-08-17 19:52:00,8,ElAsesino
2,High,22052,Normal,Normal,CTA-Joy,Normal,2019-08-17 20:21:00,8,paz
2,High,22053,Normal,Normal,CTA-Joy,Normal,2019-08-17 22:32:00,8,ElAsesino
2,High,22054,Normal,Normal,CTA-Joy,Normal,2019-08-17 23:01:00,8,Venture
2,High,22055,Normal,Normal,CTA-Joy,Normal,2019-08-17 23:34:00,8,Venture
2,High,22056,Normal,Normal,CTA-Joy,Normal,2019-08-18 16:04:00,8,Lunu
2,High,22057,Normal,Normal,CTA-Joy,Normal,2019-08-18 16:35:00,10,Venture
2,High,22058,Normal,Normal,CTA-Insight,Normal,2019-08-18 16:54:00,6,Lunu
2,High,22059,Normal,Normal,CTA-Joy,Normal,2019-08-18 20:11:00,8,Lunu
2,High,22060,Normal,Normal,CTA-Joy,Normal,2019-08-18 20:38:00,8,Lunu
,,22061,,,,,,,
2,Normal,22062,Normal,Normal,CTA-Stank,Normal,2019-08-18 21:05:00,6,Lunu
2,Very High,22063,High,High,StrongholdNODHT,Normal,2019-08-18 21:28:00,8,Venture
2,High,22064,Normal,Normal,CTA-Joy,Normal,2019-08-18 22:17:00,6,paz
2,High,22065,Normal,Normal,CTA-Joy,Normal,2019-08-18 22:38:00,8,Venture
2,High,22066,Normal,Normal,CTA-Joy,Normal,2019-08-18 23:05:00,10,paz
2,High,22067,Normal,Normal,CTA-Joy,Normal,2019-08-18 23:34:00,8,Venture
2,High,22068,Normal,Normal,CTA-Joy,Normal,2019-08-19 00:03:00,8,race
2,High,22069,Normal,Normal,CTA-Joy,Normal,2019-08-19 00:25:00,8,paz
2,High,22070,Normal,Normal,CTA-Joy,Normal,2019-08-19 00:58:00,8,Lunu
2,High,22071,Normal,Normal,CTA-Joy,Normal,2019-08-19 01:39:00,8,paz
2,High,22072,Normal,Normal,CTA-Joy,Normal,2019-08-19 02:13:00,8,paz
2,High,22073,Normal,Normal,CTA-Joy,Normal,2019-08-19 21:54:00,8,Venture
2,High,22074,Normal,Normal,CTA-Joy,Normal,2019-08-19 22:16:00,10,Venture
2,Very High,22075,High,Normal,BaitOrSwitch2,Normal,2019-08-19 22:40:00,12,Venture
2,Very High,22076,High,High,StrongholdNODHT,Normal,2019-08-19 23:05:00,12,Lunu
2,High,22077,Normal,Normal,CTA-Joy,Normal,2019-08-19 23:26:00,8,Lunu
2,High,22078,Normal,Normal,CTA-Joy,Normal,2019-08-19 23:55:00,8,Venture
2,High,22079,Normal,Normal,CTA-Joy,Normal,2019-08-20 19:52:00,6,ElAsesino
2,High,22080,Normal,Normal,CTA-Joy,Normal,2019-08-20 20:21:00,6,Venture
2,High,22081,Normal,Normal,CTA-Joy,Normal,2019-08-20 20:48:00,6,Venture
