Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,Very High,1,Normal,Normal,Hop-Scotch,Assassin,2013-01-09 21:54:00,10,cyro
2,Very High,2,High,Normal,ZODIAC,Domination,2013-01-09 21:58:00,10,cyro
2,Very High,3,High,High,Hectic5.0,Normal,2013-01-09 22:00:00,8,cyro
2,Very High,4,Normal,Normal,lnsight,Normal,2013-01-09 22:03:00,8,cyro
,,5,,,,,,,
2,Very High,6,High,High,GoodCompany,Normal,2013-01-09 22:05:00,4,cyro
2,High,7,Normal,Normal,Carlisle.0.3,Normal,2013-01-09 22:10:00,7,cyro
,,8,,,,,,,
2,Very High,9,High,High,Hectic5.0,Normal,2013-01-09 22:18:00,10,cyro
2,Very High,10,High,High,Hectic5.0,Normal,2013-01-09 22:20:00,6,cyro
2,Very High,11,Normal,Normal,JellyFishing,Domination,2013-01-09 22:22:00,6,cyro
2,Very High,12,High,High,Take-and-Hold,Normal,2013-01-09 22:23:00,9,cyro
2,Very High,13,High,Normal,SmearUltimate,Normal,2013-01-09 22:25:00,8,cyro
2,Very High,14,Normal,Normal,koth.0.9b(250),Domination,2013-01-09 22:26:00,13,cyro
2,High,15,Normal,Normal,Crowded,Normal,2013-01-09 22:34:00,8,cyro
2,Very High,16,High,High,Hectic5.0,Normal,2013-01-09 22:37:00,8,cyro
2,Very High,17,Normal,Normal,lnsight,Normal,2013-01-09 22:39:00,8,cyro
2,High,18,Normal,Normal,Crowded,Normal,2013-01-09 22:40:00,6,cyro
2,Very High,19,High,High,Hectic5.0,Normal,2013-01-09 22:44:00,8,cyro
2,Very High,20,High,Normal,ZODIAC,Domination,2013-01-09 22:48:00,13,cyro
,,21,,,,,,,
2,Very High,22,Normal,Normal,koth.0.9b(250),Domination,2013-01-09 22:52:00,14,cyro
2,High,23,High,Normal,Entice_0.5,Normal,2013-01-09 22:57:00,16,cyro
2,Very High,24,High,High,Stronghold2.0,Normal,2013-01-09 22:59:00,16,cyro
2,Very High,25,High,Normal,ZODIAC,Domination,2013-01-09 23:00:00,12,cyro
2,Very High,26,High,High,Hectic5.0,Normal,2013-01-09 23:02:00,8,cyro
2,Very High,27,Normal,Normal,lnsight,Normal,2013-01-09 23:03:00,9,cyro
2,Very High,28,High,High,GoodCompany,Normal,2013-01-09 23:07:00,8,cyro
2,Very High,29,High,High,Hectic5.0,Normal,2013-01-09 23:09:00,14,cyro
2,High,30,High,Normal,Entice_0.5,Normal,2013-01-09 23:12:00,8,cyro
,,31,,,,,,,
2,Very High,32,High,High,Hectic5.0,Normal,2013-01-09 23:16:00,8,cyro
,,33,,,,,,,
,,34,,,,,,,
,,35,,,,,,,
