,Game ID,Player,Outcome,Team,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Switch,Elected,Assassinations,Score,Time Played,Death Chart,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Killed Most - Players,Killed Most - Values,Killed Most By - Players,Killed Most By - Values,Damaged Most - Players,Damaged Most - Values,Damaged Most By - Players,Damaged Most By - Values
0,1,ShadowGod,1,1,53,36,17,,,,0.0,3.0,22,32,http://cta.critical-hq.net/chart.php?player=ShadowGod&matchID=1,13831,12686,1.0902569761942298,261,717,8142,7031,1366,1020,0,244,4323,4391,Helwor NormL Xet 20LbGenitals Lux,16 11 10 10 6,20LbGenitals Xet Lux Helwor NormL,11 10 7 5 3,NormL Xet 20LbGenitals Helwor Lux,3232 3152 2927 2765 1755,Lux 20LbGenitals Helwor Xet NormL,2782 2728 2698 2609 1869
1,1,tocs,1,1,46,27,19,,,,2.0,3.0,22,30,http://cta.critical-hq.net/chart.php?player=tocs&matchID=1,11811,10218,1.155901350557839,257,749,5721,6126,1540,408,336,68,4214,3616,NormL 20LbGenitals Helwor Xet Lux,18 10 7 6 5,Lux Helwor NormL 20LbGenitals Xet,10 6 5 4 2,NormL 20LbGenitals Helwor Xet Lux,3622 2780 2714 1572 1123,20LbGenitals Helwor NormL Lux Xet,2648 2361 1963 1922 1324
2,1,Nuts,1,1,40,30,10,,,,4.0,6.0,22,31,http://cta.critical-hq.net/chart.php?player=Nuts&matchID=1,13061,10776,1.2120452858203414,327,1676,6820,6395,1421,943,105,68,4715,3370,20LbGenitals NormL Xet Lux Helwor,12 12 9 4 3,Lux 20LbGenitals Xet NormL Helwor,9 8 6 4 3,NormL 20LbGenitals Xet Lux Helwor,3709 3102 2305 2131 1814,Lux NormL 20LbGenitals Xet Helwor,2787 2477 2287 1911 1314
3,1,Masta,1,1,30,33,-3,,,,1.0,2.0,22,29,http://cta.critical-hq.net/chart.php?player=Masta&matchID=1,12225,10593,1.1540640045312942,408,831,8265,6110,0,604,0,131,3960,3748,NormL Helwor 20LbGenitals Xet Lux,11 7 7 3 2,Lux Xet Helwor 20LbGenitals NormL,8 8 7 7 3,NormL Helwor 20LbGenitals Lux Xet,2980 2921 2204 2173 1947,Helwor 20LbGenitals Lux NormL Xet,2543 2390 2224 1842 1594
4,1,tigur,1,1,17,26,-9,,,,23.0,3.0,22,29,http://cta.critical-hq.net/chart.php?player=tigur&matchID=1,7908,8316,0.9509379509379507,465,861,3153,4361,780,483,335,42,3640,3430,Helwor Xet 20LbGenitals Lux NormL,5 4 3 3 2,20LbGenitals Helwor NormL Lux Xet,11 6 4 3 2,Helwor 20LbGenitals Xet NormL Lux,2089 1979 1371 1267 1202,20LbGenitals Helwor NormL Lux Xet,2563 2091 1319 1262 1081
5,1,20LbGenitals,0,2,41,42,-1,,,,0.0,5.0,11,29,http://cta.critical-hq.net/chart.php?player=20LbGenitals&matchID=1,12616,12992,0.9710591133004928,308,1764,7204,7779,1276,842,0,0,4136,4371,tigur ShadowGod Nuts Masta CTAtocs,11 11 8 7 4,Nuts CTAtocs ShadowGod Masta tigur,12 10 10 7 3,ShadowGod CTAtocs tigur Masta Nuts,2728 2648 2563 2390 2287,Nuts ShadowGod CTAtocs Masta tigur,3102 2927 2780 2204 1979
6,1,Lux,0,2,37,20,17,,,,12.0,0.0,11,30,http://cta.critical-hq.net/chart.php?player=Lux&matchID=1,10977,8384,1.3092795801526718,297,582,5690,3852,401,1187,437,209,4449,3136,CTAtocs Nuts Masta ShadowGod tigur,10 9 8 7 3,ShadowGod CTAtocs Nuts tigur Masta,6 5 4 3 2,Nuts ShadowGod Masta CTAtocs tigur,2787 2782 2224 1922 1262,Masta Nuts ShadowGod tigur CTAtocs,2173 2131 1755 1202 1123
7,1,Xet,0,2,28,32,-4,,,,10.0,0.0,11,29,http://cta.critical-hq.net/chart.php?player=Xet&matchID=1,8519,10347,0.8233304339422055,304,300,5057,5353,510,632,116,105,2836,4257,ShadowGod Masta Nuts tigur CTAtocs,10 8 6 2 2,ShadowGod Nuts CTAtocs tigur Masta,10 9 6 4 3,ShadowGod Nuts Masta CTAtocs tigur,2609 1911 1594 1324 1081,ShadowGod Nuts Masta CTAtocs tigur,3152 2305 1947 1572 1371
8,1,Helwor,0,2,27,38,-11,,,,3.0,1.0,11,32,http://cta.critical-hq.net/chart.php?player=Helwor&matchID=1,11007,12303,0.8946598390636429,408,465,7127,6934,306,958,0,126,3574,4285,Masta tigur CTAtocs ShadowGod Nuts,7 6 6 5 3,ShadowGod CTAtocs Masta tigur Nuts,16 7 7 5 3,ShadowGod Masta CTAtocs tigur Nuts,2698 2543 2361 2091 1314,Masta ShadowGod CTAtocs tigur Nuts,2921 2765 2714 2089 1814
9,1,NormL,0,2,19,54,-35,,,,2.0,4.0,11,28,http://cta.critical-hq.net/chart.php?player=NormL&matchID=1,9470,14810,0.6394328156650911,498,776,4945,8183,965,1488,0,336,3560,4803,CTAtocs Nuts tigur Masta ShadowGod,5 4 4 3 3,CTAtocs Nuts Masta ShadowGod tigur,18 12 11 11 2,Nuts CTAtocs ShadowGod Masta tigur,2477 1963 1869 1842 1319,Nuts CTAtocs ShadowGod Masta tigur,3709 3622 3232 2980 1267
